Time (s),X (rad/s),Y (rad/s),Z (rad/s)
0.0444994166,-0.0008439788362,0.0003832259681,-0.0006890573422
0.0544934168,0.001882481738,-0.0001812828705,-0.000544660259
0.06448841677,-0.0008424646803,-0.002319801366,0.001457237988
0.07448341674,0.00125589571,-0.0009695438202,-0.0002661296166
0.08447741671,0.00145882857,-0.000704825623,0.0002497247187
0.09447241668,-0.0009489911026,0.001967888093,0.001893996377
0.1044674166,0.0005442433758,-0.001314990688,0.00003324565478
0.1144614166,-0.0008471037145,-0.0003467339557,0.0003044283949
0.1244564168,-0.001567755127,0.002674089512,0.002081289422
0.1344514168,0.0006197782932,-0.0004245913588,-0.001356498338
0.1444454168,0.001044818782,-0.001596648479,-0.002121358179
0.1544404167,-0.0006236238405,0.001111404039,-0.0006683552056
0.1644354167,-0.002295822604,-0.002669219626,-0.001913649263
0.1744294167,0.001633645967,-0.001058617607,0.0005000743549
0.1844244166,0.0003161802888,0.00268472149,0.002220210154
0.1944194166,-0.0002089518821,-0.001932002837,-0.001289678621
0.2044134168,-0.003437235719,0.0002118418925,0.001566827996
0.2144084168,0.00135956367,-0.000572187826,0.001168376417
0.2244034167,0.0000423642341,-0.001324264565,-0.00003457337152
0.2343984167,-0.001256388379,0.0003356973175,-0.0001660013804
0.2443924167,-0.00143881503,-0.001094686566,0.001737359795
0.2543874166,-0.00310832262,-0.0008575150277,-0.001856861403
0.2643824166,0.002310677432,0.001302308636,-0.0006733526825
0.2743764168,-0.001093864441,-0.001572176116,0.002914613811
0.2843714168,0.000403364771,-0.0002648301888,0.0008714366704
0.2943664168,0.00004889536649,0.0007790529635,-0.0005462581175
0.3043604167,0.001024411176,0.000009932089597,0.003822125029
0.3143554167,0.0002933024662,-0.001855890034,0.00115457864
0.3243504167,0.0001886402024,-0.0005544032902,-0.001904061879
0.3343444166,-0.001781294472,-0.0007039185148,-0.00132569205
0.3443394166,0.000645377906,-0.0002578389831,-0.0005017101066
0.3543344168,-0.000246712938,-0.001158853527,-0.0008337853942
0.3643284168,0.003411404788,-0.000212099636,0.001674113329
0.3743234167,0.0000804195879,-0.00008524605073,-0.0002635866404
0.3843184167,-0.002264493611,-0.0004263969604,-0.0001043296652
0.3943124167,0.0002155284164,0.0003733462654,-0.00004676124081
0.4043074166,0.001287450665,0.001485748566,0.001270171837
0.4143024166,0.0004796859575,0.00143446587,0.0005471440963
0.4242964168,0.001051466796,-0.001307258382,-0.0009223882807
0.4342914168,0.001097412431,0.0001864591613,-0.001254318398
0.4442864168,0.0004694390809,0.002279171022,-0.00004417798482
0.4542804167,0.001803484862,0.00009212037548,0.0004602605477
0.4642754167,0.001022646087,0.001353926142,-0.000041479012
0.4742704167,-0.0005726962117,-0.0005960273556,0.0002713635331
0.4842654166,0.001932006795,-0.001547308639,0.002186709084
0.4942594166,0.0005183574976,-0.002586873947,0.001014488284
0.5042544168,-0.0009863285813,0.0008009332232,0.001069083111
0.5142494168,0.00005133810919,-0.0003776154481,-0.0003686355194
0.5242434167,0.0002936857054,0.001425078139,0.0005395023618
0.5342384167,-0.0003561688354,-0.001980172237,0.001866659848
0.5442334167,-0.00007200962864,-0.001341812545,-0.0006356462254
0.5542274166,-0.00003323878627,-0.000009766314179,-0.002481402829
0.5642224166,0.002271194477,-0.00009871600196,-0.001391370897
0.5742174168,0.0007954252651,-0.001289215637,-0.00005171936937
0.5842114168,0.0006766483421,-0.00005004671402,-0.0005321536446
0.5942064167,-0.0003335721558,-0.001949861879,-0.001601883094
0.6042014167,0.000668841647,0.0006541770417,0.00004794518463
0.6141954167,0.0003263591789,-0.002253462328,0.001564881881
0.6241904167,0.00005524931476,0.001645139186,0.001007215935
0.6341854166,-0.002316447208,-0.002011519391,-0.002137015807
0.6441794168,0.001584817423,0.002623179927,0.0007189582102
0.6541744168,0.001416922663,0.002648522845,0.0006028176285
0.6641694168,-0.0003436931875,0.0007571458118,0.0003133320715
0.6741676668,-0.001542793121,-0.002374608768,-0.0002212568652
0.6841616668,0.0003648290876,0.0008720511105,0.00223471038
0.6941566668,-0.0005577767733,-0.001632012427,-0.0003392619547
0.7041516667,0.001087790588,0.002039954066,0.0001206658781
0.7141456667,-0.00002622778993,-0.0004734308459,-0.001817279146
0.7241406667,0.0008307774551,0.0002136647236,-0.001076654065
0.7341356666,0.0004613181809,-0.0004863461945,-0.001819630503
0.7441296666,-0.0009648046107,-0.001319915522,0.001180420397
0.7541246668,-0.0002872836776,-0.001411642414,-0.001622543554
0.7641196668,0.0008160640718,-0.0008715533186,-0.002082471503
0.7741136667,-0.0005779034691,-0.001021095086,0.001113194041
0.7841086667,0.002198441885,-0.001376893371,0.0005339563359
0.7941036667,0.002114853356,-0.001323964214,0.001671093167
0.8040976666,0.0003395904787,0.000574070611,-0.0003949870588
0.8140926666,-0.0004262786824,-0.001480242703,-0.002807254437
0.8240876668,0.001989741111,-0.002263744595,0.0005081146955
0.8340826668,0.0004720140714,0.0006819149712,-0.001266309293
0.8440766667,-0.0007024399238,0.0009301215177,0.0005718044704
0.8540716667,0.0005186558701,-0.0009341938421,0.001709211618
0.8640666667,0.001473399112,-0.001025007572,0.0003517983714
0.8740606667,0.0002014746424,0.001087912009,-0.0002955301898
0.8840556666,0.00002623861656,0.0001821708865,-0.0002736923052
0.8940506666,-0.0008095918456,0.00008059246466,0.001238393947
0.9040446668,0.00126554328,-0.0008262139745,-0.001209051115
0.9140396668,0.000877776416,-0.001127237454,-0.00100199692
0.9240346667,0.001701225759,0.001358024543,-0.001156726503
0.9340286667,-0.0009926761268,0.001345993718,-0.0003478195285
0.9440236667,-0.0002075762022,0.0001326575875,-0.0001664581941
0.9540186666,-0.0002672020346,-0.00006560306065,0.001456909114
0.9640126666,0.0005064462312,-0.001848056912,-0.0002179527655
0.9740076668,-0.003246306442,-0.0003539328463,-0.000162265962
0.9840026668,0.0003918376751,-0.0007704512682,0.0008201741148
0.9939976668,-0.00173404126,-0.000908824848,-0.0009177066386
1.003991667,0.001807962777,-0.0001697978005,-0.001558196847
1.013986667,-0.002163578989,-0.0005658373702,-0.00009902333841
1.023981667,-0.002316710772,-0.001552005997,0.0005854089977
1.033975667,0.0001345928758,-0.001213019248,0.0009941274766
1.043970667,-0.001729886048,0.0004900721833,-0.0008277409943
1.053965667,-0.0004112118622,-0.00023876247,-0.0002656234428
1.063959667,0.00006948877126,-0.0002408928704,0.00001986743882
1.073954667,0.001526429784,-0.00128780934,-0.001072882907
1.083949667,-0.00009809830226,0.001139661879,-0.0001208028989
1.093943667,0.0001213666983,0.001799788093,0.0005683490308
1.103938667,0.00001137820072,-0.001334219938,-0.002276173327
1.113933667,-0.0003877417184,-0.0008235278074,0.0003703654511
1.123928667,-0.0008974707453,-0.001554032788,-0.001249635476
1.133922667,-0.0004641151754,-0.002697326476,-0.0008306521922
1.143917667,-0.00121326244,0.0009602589998,-0.001789922826
1.153912667,0.002586479299,-0.0004812707193,0.002803967101
1.163906667,-0.0004231589846,0.0009645594982,-0.0006339074462
1.173901667,-0.0002343524247,-0.0006130666006,-0.0005765565438
1.183896667,-0.0002753651934,-0.001200293656,0.0009600872872
1.193890667,0.002477135044,-0.000070492737,-0.0005452750484
1.203885667,0.0003396819811,0.00161076081,-0.001243822277
1.213880667,0.0009881018195,0.001225056942,-0.0006913460093
1.223874667,-0.00155921164,-0.0006609938573,0.0001270433422
1.233869667,-0.001317201415,0.0003446803894,0.0003365626326
1.243864667,-0.0002229085658,-0.003746201517,0.0017791969
1.253859667,-0.0005361182848,0.0002911805641,0.001817401499
