Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.9093414583,1.378082275,-3.526141167,-26.31902122,26.58991652
0.9193374584,1.493888021,-3.372929096,-26.8125782,27.0651566
0.9293334584,1.712310076,-3.426137447,-27.10913658,27.37838034
0.9393304584,1.927277207,-3.45779705,-27.42259026,27.70684418
0.9493264584,2.189564228,-3.59943676,-27.73286247,28.05105698
0.9593224584,2.453027487,-3.823606968,-27.89562416,28.26310601
0.9693194584,2.664952755,-4.133836269,-28.04298592,28.4710315
0.9793154583,2.777687311,-4.399690151,-28.27934074,28.75402464
0.9893114584,2.759581089,-4.636092663,-28.51063347,29.01663081
0.9993084584,2.714114904,-5.030352592,-28.70630836,29.269831
1.009304458,2.617329121,-5.387266636,-28.92897987,29.54249363
1.019300458,2.464161873,-5.833400249,-29.10783577,29.78870181
1.029297458,2.345586777,-6.415854454,-29.01857948,29.81179164
1.039293458,2.21155405,-7.084264755,-28.95719719,29.89309364
1.049289458,2.068384409,-7.735034943,-28.85744286,29.94763743
1.059286458,2.004582405,-8.435081482,-28.87396812,30.14755356
1.069282458,1.894718409,-9.07648468,-28.83007622,30.28441557
1.079278458,1.856594801,-9.735539436,-28.72360802,30.38541311
1.089275458,1.685257554,-10.0558176,-29.20364952,30.93238927
1.099271458,1.521264076,-10.35840416,-29.35270882,31.16395829
1.109267458,1.398472786,-10.81196594,-29.33511543,31.29542029
1.119264458,1.189731717,-11.202034,-29.32079506,31.41034941
1.129260458,0.9161065817,-11.68226242,-29.18956947,31.4538626
1.139256458,0.6153912544,-12.2243824,-29.0432148,31.51702012
1.149253458,0.1698826551,-12.69296741,-28.87771034,31.54461026
1.159249458,-0.287558794,-13.16568756,-28.58435249,31.47194348
1.169245458,-0.8296768665,-13.53440952,-28.38467979,31.45725118
1.179242458,-1.417224407,-13.89748192,-28.17214394,31.44548016
1.189238458,-2.016621113,-14.18875599,-27.96247673,31.421134
1.199234458,-2.500471592,-14.4254837,-27.788908,31.40971739
1.209231458,-2.913197517,-14.68679237,-27.52429771,31.33329786
1.219227458,-3.230545998,-14.96994209,-27.3181057,31.31795799
1.229223458,-3.521392822,-15.07529831,-27.13879967,31.24386778
1.239219458,-3.723133087,-15.19444466,-27.05427742,31.25166868
1.249216458,-3.848917484,-15.2650547,-26.99907875,31.25358082
1.259212458,-3.905391693,-15.22546196,-27.14967155,31.37150684
1.269208458,-3.790047169,-15.00715065,-27.30346107,31.38563389
1.279205458,-3.599122524,-14.72180653,-27.41493416,31.32513185
1.289201458,-3.440568924,-14.28980923,-27.62389183,31.29082233
1.299197458,-3.182482719,-13.84739113,-28.0558033,31.4484743
1.309194458,-2.830387592,-13.23098755,-28.56176186,31.60449914
1.319190458,-2.405186653,-12.60004997,-29.06996346,31.77434433
1.329186458,-1.866295576,-11.87065125,-29.44346809,31.80115145
1.339183458,-1.242846489,-11.00009727,-29.89647484,31.88018217
1.349179458,-0.534071207,-10.17371559,-30.38939857,32.05160319
1.359175458,0.2044906616,-9.220640182,-30.84935188,32.19851757
1.369172458,0.9167298079,-8.201105118,-31.22808647,32.30002946
