Time (s),X (µT),Y (µT),Z (µT)
0.04416337493,13.80100632,15.12688446,-23.9747467
0.0541583749,13.87131882,15.15801239,-24.15654755
0.06415437488,13.86188507,15.22259331,-24.21603394
0.07414937485,13.79773521,15.34993553,-24.25013733
0.08414437505,13.80147171,15.30269241,-24.1987648
0.09414037503,13.81873512,15.23845482,-24.09109879
0.104135375,13.88132858,15.17078781,-24.0369873
0.114131375,13.82320023,15.17928886,-24.01278687
0.124126375,13.79883003,15.23500061,-24.11408615
0.1341213749,13.83390999,15.21775818,-24.04826355
0.1441173749,13.81590462,15.24118996,-23.83794403
0.1541123749,13.8539753,15.17097664,-23.72428131
0.1641073748,13.86348915,15.15478134,-23.6666069
0.1741033751,13.86727905,15.11170387,-23.54685211
0.184098375,13.90659523,15.00979042,-23.37759399
0.194093375,13.86327171,15.0956974,-23.52787399
0.204089375,13.79931831,15.13613892,-23.55333328
0.214084375,13.79931831,15.13613892,-23.55333328
0.2240803749,13.79991531,15.13592529,-23.52718735
0.2340753749,13.83713341,15.13727379,-23.46977234
0.2440703749,13.84600067,15.127985,-23.50087357
0.2540663749,13.80292892,15.20503998,-23.67351913
0.2640613751,13.77646828,15.29934311,-23.7869072
0.274056375,13.81405258,15.38819695,-23.86151123
0.284052375,13.79117203,15.46428871,-23.9843483
0.294047375,13.7977047,15.46201706,-24.03657913
0.3040423749,13.77946854,15.44954872,-24.12543106
0.3140383749,13.8114357,15.40337181,-23.99204636
0.3240333749,13.78148842,15.3696537,-23.78430557
0.3340283749,13.82453156,15.41571808,-23.78359222
0.3440243748,13.8314991,15.45960045,-23.9061203
0.3540193751,13.86240959,15.46680641,-23.90445709
0.364015375,13.82151604,15.42864227,-23.90705109
0.374010375,13.84175301,15.43248558,-23.93976212
0.384005375,13.81333542,15.50888824,-24.11092377
0.394001375,13.80013847,15.5598774,-24.1580658
0.4039963749,13.79978752,15.51652336,-24.02989197
0.4139913749,13.81074524,15.4875164,-24.01761246
0.4239873749,13.80079842,15.46911812,-24.08964539
0.4339823748,13.7665081,15.47998428,-24.12732697
0.443977375,13.74641037,15.52005959,-24.1276474
0.453973375,13.75823212,15.41661835,-23.96994781
0.463968375,13.80698586,15.4069252,-23.96509552
0.473964375,13.74077034,15.33063698,-24.08077621
0.4839593749,13.73320198,15.40924072,-24.12247849
0.4939543749,13.76147079,15.41024017,-24.06960297
0.5039503749,13.7580204,15.43296814,-23.98507309
0.5139453749,13.80867195,15.39281273,-23.96159363
0.5239403748,13.79219627,15.41151237,-23.92773056
0.5339363751,13.80440521,15.3863678,-24.01809692
0.543931375,13.76824379,15.42708969,-24.00241089
0.553926375,13.76991463,15.42498016,-23.94130325
0.563922375,13.7869072,15.41171646,-23.87874222
0.5739173749,13.77021599,15.47686577,-24.01070404
0.5839123749,13.78411102,15.4729538,-24.08558273
0.5939083749,13.82522392,15.5180912,-24.15329742
0.6039033749,13.8178978,15.50993538,-24.14691544
0.6138993748,13.82209015,15.45111275,-24.12994766
0.6238943751,13.80285835,15.46059227,-24.15953827
0.633889375,13.8019371,15.50317764,-24.12801743
0.643885375,13.77572823,15.53542709,-24.00855637
0.653880375,13.78781891,15.49194527,-23.83015823
0.6638753749,13.79957771,15.48955917,-23.88948441
0.6738713749,13.78156281,15.49030876,-24.00244141
0.6838663749,13.76024628,15.47879982,-24.10568619
0.6938613749,13.77924347,15.48244476,-24.14183807
0.7038573748,13.80066299,15.49794579,-24.22713089
0.713852375,13.78527641,15.43527794,-24.15325928
0.723848375,13.78193474,15.42461395,-24.12631989
0.733843375,13.76993752,15.38933372,-24.07339478
0.743838375,13.80529594,15.39242363,-24.0093956
0.7538343749,13.81450844,15.38243103,-23.93203735
0.7638293749,13.74995232,15.40705299,-24.0447998
0.7738243749,13.74036598,15.48344231,-24.11183548
0.7838203749,13.75893593,15.55603981,-24.21773911
0.7938153748,13.78774452,15.60472298,-24.24880981
0.803810375,13.80011368,15.55165291,-24.17248535
0.813806375,13.85699081,15.47904396,-24.17472458
0.823801375,13.85216522,15.43958092,-23.99739838
0.833796375,13.81886292,15.3927536,-23.95084763
0.8437923749,13.87273026,15.31871033,-23.83515167
0.8537873749,13.8759346,15.38804245,-23.7232132
0.8637833749,13.86351776,15.36569405,-23.71742249
0.8737783749,13.82902527,15.33069038,-23.77047348
0.8837733748,13.81875038,15.3900547,-23.84965134
0.893769375,13.80335999,15.39861107,-23.8533783
0.903764375,13.7908802,15.40735626,-23.80319595
0.913759375,13.81191063,15.39876556,-23.88793564
0.923755375,13.81954575,15.41325188,-23.78977203
0.9337503749,13.80451393,15.4075489,-23.72679138
0.9437453749,13.83122635,15.40315437,-23.60655212
0.9537413749,13.81568718,15.4193573,-23.67420959
0.9637363749,13.81111145,15.38306618,-23.80635834
0.9737323748,13.81509399,15.3586235,-23.72926331
0.983727375,13.86429977,15.33630943,-23.66500092
0.993722375,13.8797245,15.35088348,-23.63024902
1.003718375,13.89406967,15.36929893,-23.63260651
1.013713375,13.85648537,15.39134979,-23.66376495
1.023704125,13.80977631,15.39831352,-23.74159241
1.033700125,13.78352547,15.46706963,-23.84257507
1.043695125,13.82129097,15.43608665,-23.80408478
1.053690125,13.82318687,15.39658356,-23.80150223
1.063686125,13.80023384,15.38942337,-23.85389709
1.073681125,13.79937744,15.37932968,-23.81415176
1.083677125,13.83056259,15.37332344,-23.7826004
1.093672125,13.81124115,15.35661507,-23.71957779
1.103667125,13.83195114,15.22259331,-23.72655106
1.113663125,13.86475372,15.22275352,-23.71944046
1.123658125,13.87299728,15.28064156,-23.63568878
1.133653125,13.87633705,15.30169106,-23.69563293
1.143649125,13.93422508,15.27578545,-23.692173
1.153644125,13.94999123,15.27764893,-23.59862137
1.163639125,13.88505363,15.35328102,-23.64612579
1.173635125,13.85531616,15.40275002,-23.75912094
1.183630125,13.80374718,15.38368988,-23.84228134
1.193626125,13.87948608,15.37381172,-23.87752151
1.203621125,13.89510345,15.41178131,-23.79944611
1.213616125,13.86957359,15.33332825,-23.79431152
1.223612125,13.85660934,15.32322502,-23.76517487
1.233607125,13.89368057,15.27153397,-23.74990845
1.243602125,13.91135979,15.29840088,-23.81666946
1.253598125,13.89868546,15.33184242,-23.83997345
1.263593125,13.86764526,15.30635262,-23.81316757
1.273588125,13.86370277,15.30914116,-23.74460602
1.283584125,13.82878304,15.39554787,-23.71177673
1.293579125,13.89496231,15.28069878,-23.69285965
1.303575125,13.92995262,15.17085838,-23.75891113
1.313570125,13.89397812,15.13874435,-23.72121811
1.323565125,13.83793449,15.29012489,-23.72555542
1.333561125,13.77386665,15.28553963,-23.70042801
1.343556125,13.8268261,15.23905182,-23.68605804
1.353551125,13.85795784,15.21570206,-23.62102509
1.363547125,13.84109879,15.2439003,-23.56041336
1.373542125,13.89919853,15.19020653,-23.49889755
1.383537125,13.94339561,15.11143875,-23.42774963
1.393533125,13.93878174,15.15514946,-23.37252426
1.403528125,13.91571426,15.08153915,-23.32286072
1.413524125,13.89907265,15.19462585,-23.33424759
1.423519125,13.91525078,15.18528748,-23.26393509
1.433514125,13.93337059,15.16855812,-23.20178604
1.443510125,13.83542633,15.28854561,-23.19264603
1.453505125,13.8889389,15.23555183,-23.22022629
1.463500125,13.91333961,15.25290108,-23.13412476
1.473496125,13.89587593,15.1524353,-22.98603821
1.483491125,13.89454079,15.15578079,-22.92722321
1.493486125,13.89937782,15.14192009,-22.88473129
1.503482125,13.93778229,15.14528847,-22.89323807
1.513477125,13.99777985,15.1356926,-22.89231873
1.523473125,13.94139099,15.11899948,-22.86961365
1.533468125,13.9250679,15.16461563,-22.84670258
1.543463125,13.95792007,15.07699585,-22.67893982
1.553459125,14.0113163,15.00452995,-22.54311371
1.563454125,14.01486588,14.92992592,-22.59384537
1.573449125,14.00429344,14.90251541,-22.6370163
1.583445125,14.01390266,14.90180779,-22.48677444
1.593440125,14.05363274,14.82694244,-22.40148544
1.603435125,14.02904892,14.80216408,-22.38570404
1.613431125,14.02904892,14.80216408,-22.38570404
1.623426125,14.003582,14.84818459,-22.44274521
1.633422125,14.07441521,14.75071526,-22.32566452
1.643417125,14.09708595,14.80338097,-22.21531677
1.653412125,14.12631989,14.82342339,-22.08771896
1.663408125,14.13943291,14.72513199,-22.04154587
1.673403125,14.11236,14.69999504,-22.06459045
1.683398125,14.16481209,14.64080429,-22.01410294
1.693394125,14.20786095,14.64323616,-21.93455505
1.703389125,14.18495178,14.63179016,-21.80160904
1.713384125,14.26150322,14.62120628,-21.74583817
1.723380125,14.27422905,14.55484962,-21.71463776
1.733375125,14.29224968,14.53174973,-21.731987
1.743371125,14.28680038,14.57721138,-21.66126633
1.753366125,14.33296394,14.6121788,-21.5785141
1.763361125,14.30633545,14.60528755,-21.51688766
1.773357125,14.37205696,14.61763763,-21.30062485
1.783352125,14.38322067,14.52742767,-21.22753525
1.793347125,14.45620537,14.4902153,-21.17672348
1.803343125,14.4979248,14.4295845,-21.02747345
1.813338125,14.56114769,14.34505463,-20.92777252
1.823333125,14.58137894,14.32331085,-20.94285202
1.833329125,14.62908745,14.45357132,-21.28110886
1.843324125,14.59833527,14.52454948,-21.34929276
1.853320125,14.58437729,14.55457497,-21.3112793
1.863315125,14.62258339,14.57891655,-21.31356049
1.873310125,14.60259819,14.61547089,-21.28362274
1.883306125,14.62995148,14.62050247,-21.29789734
1.893301125,14.68338776,14.53042603,-21.12330627
1.903296125,14.72765541,14.47292519,-20.96781921
1.913292125,14.75666046,14.50592232,-20.91397095
1.923287125,14.73035622,14.55295181,-20.90903854
1.933283125,14.74648094,14.56072617,-20.85197449
1.943278125,14.77403641,14.54308319,-20.80589676
1.953273125,14.81511879,14.59260941,-20.68991089
1.963269125,14.96037865,14.57047462,-20.4720192
1.973264125,14.99872971,14.65820503,-20.50294113
1.983259125,15.0190773,14.60327911,-20.53582382
1.993255125,15.03781509,14.54129791,-20.42461395
2.003250125,15.17398643,14.47520065,-20.33299255
2.013245125,15.23203087,14.53754997,-20.26502991
2.023241875,15.24250412,14.55298042,-20.24280548
2.033236875,15.30710411,14.58457565,-20.16701126
2.043232875,15.36711311,14.57721519,-19.99755096
2.053227875,15.41123199,14.56084251,-19.81193161
2.063222875,15.41241455,14.56006813,-19.7350769
2.073218875,15.41304588,14.56283951,-19.70025635
2.083213875,15.47480202,14.51307678,-19.58897781
2.093208875,15.55221939,14.41174889,-19.36104965
2.103204875,15.61293983,14.41640091,-19.26292801
2.113199875,15.76895332,14.35037231,-19.16082764
2.123195875,15.86270714,14.16941261,-19.04726791
2.133190875,15.98325729,14.09926414,-18.86079407
2.143185875,16.04367638,14.08374214,-18.70422745
2.153181875,16.04165077,14.13396072,-18.67183685
2.163176875,16.05042839,14.15110207,-18.56746292
2.173171875,16.17113686,14.17285538,-18.42458344
2.183167875,16.26181793,14.10650063,-18.30098724
2.193162875,16.34620094,14.0967617,-18.11228943
2.203157875,16.36781693,14.16268539,-17.93893433
2.213153875,16.40085411,14.16955948,-17.76382065
2.223148875,16.54474258,14.15981483,-17.62580109
2.233144875,16.61631393,14.1288662,-17.49391937
2.243139875,16.72945786,14.0523243,-17.3129921
2.253134875,16.75826454,13.96432304,-17.00810623
2.263130875,16.82337952,13.95408058,-16.80451965
2.273125875,16.93632507,13.92454147,-16.82533646
2.283120875,17.09103394,13.90016365,-16.61193848
2.293116875,17.20125008,13.89140129,-16.41120529
2.303111875,17.28453445,13.87256622,-16.2003212
2.313106875,17.33871651,13.97962952,-15.99064541
2.323102875,17.37317467,14.04664803,-15.74454594
2.333097875,17.49354935,14.03855324,-15.65838146
2.343093875,17.59313011,13.97206306,-15.59583759
2.353088875,17.73196411,13.84974289,-15.38875294
2.363083875,17.79327583,13.81692696,-15.25191784
2.373079875,17.84135628,13.76492691,-15.16486645
2.383074875,17.98544312,13.83344841,-15.01787663
2.393069875,18.06632805,13.91960335,-14.84432888
2.403065875,18.08980751,13.99797249,-14.68767452
2.413060875,18.16015244,14.09928703,-14.51034069
2.423055875,18.24186897,14.23073387,-14.41740513
2.433051875,18.28980827,14.27793694,-14.44384289
2.443046875,18.3364296,14.31876945,-14.32378292
2.453042875,18.42397118,14.28841972,-14.31462002
2.463037875,18.47859955,14.35753632,-14.25241184
2.473032875,18.5064373,14.41062164,-14.16592503
2.483028875,18.58020592,14.53887367,-14.06232166
2.493023875,18.57042885,14.62899399,-13.96891117
2.503018875,18.6354351,14.62287903,-13.86580372
2.513014875,18.69031906,14.69009399,-13.69796848
2.523009875,18.77981949,14.76491737,-13.66248035
2.533005875,18.77936554,14.79629898,-13.61050701
2.543000875,18.83977699,14.86626244,-13.67091465
2.552995875,18.87624931,14.93982697,-13.62731647
2.562991875,18.88684654,15.02417564,-13.63066006
2.572986875,18.84757423,15.0994091,-13.53965473
2.582981875,18.90787506,15.18708229,-13.49496746
2.592977875,18.92568207,15.20709038,-13.40645885
2.602972875,18.93096733,15.2141819,-13.36494923
2.612967875,18.91555214,15.28429413,-13.25672626
2.622963875,18.94733047,15.41226196,-13.21475697
2.632958875,18.98385048,15.47616959,-13.22696972
2.642954875,18.9923439,15.48880196,-13.12028027
2.652949875,19.01667023,15.5111618,-13.06198215
2.662944875,18.93177986,15.53868103,-13.0537405
2.672940875,18.93823814,15.64678764,-13.07179737
2.682935875,18.96737671,15.72893715,-13.11609173
2.692930875,18.96199226,15.72236443,-13.09460735
2.702926875,18.94278717,15.71272087,-13.06709766
2.712921875,18.92988777,15.72334862,-13.02704334
2.722916875,18.92712212,15.7840538,-13.10375881
2.732912875,18.97183228,15.90886497,-13.11846447
2.742907875,18.98543167,16.0220871,-13.04500484
2.752903875,18.95504761,16.08710289,-13.0552187
2.762898875,18.97122192,16.10564041,-12.96483707
2.772893875,18.94054604,16.17428207,-12.8765974
2.782889875,18.94960785,16.21774673,-12.80593204
2.792884875,18.99987793,16.18203163,-12.7261095
2.802879875,19.08699608,16.23064995,-12.65005589
2.812875875,19.1746769,16.31345367,-12.52297115
2.822870875,19.14894867,16.39981079,-12.38873386
2.832866875,19.22278786,16.40599442,-12.34484005
2.842861875,19.25529671,16.35177803,-12.3694849
2.852856875,19.22061157,16.31419754,-12.3723402
2.862852875,19.22390556,16.32600021,-12.38140392
2.872847875,19.22903442,16.35099602,-12.50021839
2.882842875,19.21538734,16.39723206,-12.51541042
2.892838875,19.185009,16.38722801,-12.43050671
2.902833875,19.24470901,16.30832863,-12.39900684
2.912828875,19.2853756,16.37045097,-12.43161106
2.922824875,19.31261444,16.40084839,-12.47480488
2.932819875,19.30932045,16.36560631,-12.56196117
2.942815875,19.31958199,16.35481262,-12.48439693
2.952810875,19.25124359,16.36059189,-12.40815639
2.962805875,19.21464539,16.36500931,-12.36133862
2.972801875,19.22504616,16.43224335,-12.34032917
2.982796875,19.25849342,16.3886013,-12.28978062
2.992791875,19.27655029,16.29795647,-12.32486439
3.002787875,19.23282814,16.38443947,-12.35069942
3.012782875,19.22394371,16.38308525,-12.36329174
3.022779042,19.20111084,16.38557053,-12.37491131
3.032774042,19.20111084,16.38557053,-12.37491131
3.042769042,19.24145317,16.3644352,-12.29971981
3.052765042,19.24084091,16.37582016,-12.22321606
3.062760042,19.19999313,16.41891289,-12.2052412
3.072755042,19.16580391,16.50988197,-12.29925442
3.082751042,19.17631149,16.5423336,-12.38457584
3.092746042,19.21712685,16.52831841,-12.39609814
3.102741042,19.23896027,16.47633171,-12.43385029
3.112737042,19.23024178,16.54099464,-12.45614338
3.122732042,19.18596268,16.56577301,-12.45462894
3.132728042,19.21033287,16.4764576,-12.38590717
3.142723042,19.2115593,16.41108513,-12.44266224
3.152718042,19.22703743,16.47240639,-12.36451244
3.162714042,19.22201157,16.42130661,-12.317523
3.172709042,19.2262249,16.39895821,-12.35150242
3.182704042,19.2442131,16.33639145,-12.36416531
3.192700042,19.30461121,16.29829216,-12.37403393
3.202695042,19.2299099,16.34063148,-12.31354237
3.212690042,19.20286369,16.34726715,-12.21467304
3.222686042,19.19397736,16.36356544,-12.2498579
3.232681042,19.24515343,16.33053207,-12.25207806
3.242677042,19.24952316,16.305336,-12.25667286
3.252672042,19.25920486,16.33395767,-12.30344486
3.262667042,19.23964882,16.35658836,-12.41959667
3.272663042,19.25419044,16.36034393,-12.45051479
3.282658042,19.23883247,16.38016701,-12.42465687
3.292653042,19.18500137,16.33982086,-12.36408138
3.302649042,19.17474556,16.26120377,-12.36331272
3.312644042,19.19516563,16.23540115,-12.35521221
3.322640042,19.22232819,16.20560265,-12.30021572
3.332635042,19.21509361,16.28302002,-12.25819111
3.342630042,19.24726677,16.33108902,-12.27393436
3.352626042,19.23027992,16.44872284,-12.34590816
3.362621042,19.20041466,16.46437645,-12.38286495
3.372616042,19.22827721,16.47913551,-12.49233723
3.382612042,19.15892029,16.43035126,-12.53257656
3.392607042,19.17226791,16.38495255,-12.44328594
3.402602042,19.1985321,16.42205811,-12.37990665
3.412598042,19.23594856,16.46077156,-12.27803326
