Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
1.2167655,-0.22348526,0.1914518738,9.758058014
1.2267635,-0.2303709412,0.1901046753,9.764943695
1.2367615,-0.2273771667,0.1893562317,9.754914551
1.2467595,-0.2338137817,0.1963916016,9.753567352
1.2567575,-0.2347119141,0.1890568542,9.751771088
1.2667555,-0.2269281006,0.1941462708,9.756710815
1.2767535,-0.2285746765,0.1817221069,9.764794006
1.2867515,-0.2330653381,0.1797761536,9.758357391
1.2967495,-0.2351609802,0.1869612122,9.763895874
1.3067475,-0.2320175171,0.1968406677,9.751322021
1.3167465,-0.2341131592,0.1916015625,9.749825134
1.326748208,-0.2323168945,0.1866618347,9.744286652
1.336746208,-0.2215393066,0.1922003174,9.743388519
1.346744208,-0.2240840149,0.2017803955,9.758357391
1.356742208,-0.2251318359,0.1986369324,9.757459259
1.366740208,-0.2300715637,0.1886077881,9.75147171
1.376738208,-0.2353106689,0.1839674377,9.751621399
1.386736208,-0.237406311,0.1998344421,9.749675446
1.396734208,-0.2332150269,0.1968406677,9.75506424
1.406732208,-0.2276765442,0.1969903564,9.753567352
1.416730208,-0.2291734314,0.2002835083,9.746681671
1.426728208,-0.2252815247,0.1953437805,9.750872955
1.436727208,-0.228874054,0.1830693054,9.755662994
1.446725208,-0.2347119141,0.1754351807,9.751621399
1.456723208,-0.2381547546,0.1754351807,9.761051788
1.466721209,-0.2305206299,0.1850152588,9.758656769
1.476719209,-0.2246827698,0.1845661926,9.761201477
1.486717209,-0.2285746765,0.1914518738,9.744286652
1.496715209,-0.2348616028,0.2008822632,9.748178558
1.506713209,-0.2423460388,0.199385376,9.754914551
1.516711209,-0.2429447937,0.1904040527,9.75850708
1.526709208,-0.2378553772,0.1975891113,9.765093384
1.536707208,-0.227227478,0.1896556091,9.749076691
1.546706208,-0.2267784119,0.1914518738,9.7502742
1.556704208,-0.2228865051,0.2026785278,9.747879181
1.566702208,-0.2305206299,0.2011816406,9.733359375
1.576700208,-0.2297721863,0.2002835083,9.746082916
1.586698208,-0.2378553772,0.1845661926,9.757459259
1.596696208,-0.2447410583,0.1833686829,9.755513306
1.606694208,-0.2339634705,0.1898052979,9.7502742
1.616692208,-0.2168989563,0.1886077881,9.756860504
1.626690208,-0.2174977112,0.1936972046,9.762548676
1.636688208,-0.2263293457,0.1983375549,9.758207703
1.646686208,-0.2291734314,0.1990859985,9.753417664
1.656684208,-0.2353106689,0.2014810181,9.758656769
1.666683208,-0.2381547546,0.1908531189,9.760453033
1.676681208,-0.2345622253,0.1719923401,9.757908325
1.686679208,-0.2323168945,0.177381134,9.758357391
1.696677208,-0.2308200073,0.1728904724,9.760303345
1.706675208,-0.2387535095,0.1814227295,9.763895874
1.716673208,-0.2348616028,0.1791773987,9.754016418
1.726671208,-0.2318678284,0.1926493835,9.743987274
1.736669208,-0.2266287231,0.1927990723,9.752818909
1.746667208,-0.2384541321,0.1968406677,9.753118286
1.756665208,-0.2375559998,0.1969903564,9.751022644
1.766663208,-0.237406311,0.2077679443,9.753717041
1.776662208,-0.2344125366,0.1990859985,9.752220154
1.786660208,-0.2380050659,0.2022294617,9.755363617
1.796658208,-0.2398013306,0.1998344421,9.755812683
1.806656208,-0.2290237427,0.2019300842,9.746082916
1.816654208,-0.2179467773,0.1983375549,9.752519531
1.826652208,-0.222437439,0.1986369324,9.758656769
1.836650208,-0.2242337036,0.2056723022,9.74443634
1.846648208,-0.2300715637,0.2010319519,9.743837585
1.856646208,-0.2362088013,0.186512146,9.760303345
1.866644208,-0.2350112915,0.1731898499,9.762848053
1.876642208,-0.2329156494,0.1706451416,9.756411438
1.886640208,-0.2314187622,0.17902771,9.761949921
1.896639208,-0.2245330811,0.1839674377,9.758956146
1.906637208,-0.2311193848,0.1794767761,9.764943695
1.916635209,-0.240100708,0.1841171265,9.766290894
1.926633209,-0.2417472839,0.1871109009,9.760602722
1.936631209,-0.2456391907,0.1999841309,9.740394745
1.946629209,-0.2341131592,0.2032772827,9.750423889
1.956627209,-0.2335144043,0.1989363098,9.75386673
1.966625209,-0.2321672058,0.1984872437,9.757159882
1.976623208,-0.227227478,0.1989363098,9.743987274
1.986621208,-0.2243833923,0.2101629639,9.737251282
1.996619208,-0.2332150269,0.193996582,9.748627625
2.006617208,-0.2291734314,0.2046244812,9.745184784
2.016616208,-0.2177970886,0.212258606,9.748477936
2.026614208,-0.2248324585,0.1933978271,9.748927002
2.036612208,-0.2212399292,0.1806742859,9.763746185
2.046610208,-0.2296224976,0.1848655701,9.769284668
2.056608208,-0.2341131592,0.1664538574,9.757159882
2.066606208,-0.23635849,0.1832189941,9.75730957
2.076604208,-0.237406311,0.1951940918,9.750124512
2.086602208,-0.2236349487,0.1972897339,9.746382294
2.096600208,-0.2212399292,0.1953437805,9.745035095
2.106598208,-0.2306703186,0.2001338196,9.755662994
2.116596208,-0.2365081787,0.1927990723,9.754166107
2.126594208,-0.2354603577,0.1812730408,9.751322021
2.136592208,-0.2350112915,0.1781295776,9.762099609
2.146591208,-0.2350112915,0.1836680603,9.756112061
2.156589208,-0.2314187622,0.1887574768,9.754914551
2.166587208,-0.2333647156,0.2037263489,9.755363617
2.176585208,-0.2242337036,0.2038760376,9.749525757
2.186583208,-0.2330653381,0.1938468933,9.757608948
2.196581208,-0.2287243652,0.1904040527,9.762249298
2.206579208,-0.23635849,0.1950444031,9.758058014
2.216577208,-0.2311193848,0.1871109009,9.746681671
2.226575208,-0.2296224976,0.1919009399,9.760303345
2.236573208,-0.2257305908,0.1990859985,9.763446808
2.246571208,-0.2297721863,0.1998344421,9.754914551
2.256569208,-0.2273771667,0.2112107849,9.743987274
2.266568208,-0.2321672058,0.1999841309,9.743538208
2.276566208,-0.2353106689,0.2005828857,9.746082916
2.286564208,-0.237406311,0.1913021851,9.750124512
2.296562208,-0.2291734314,0.1871109009,9.754016418
2.306560208,-0.2327659607,0.1971400452,9.763746185
2.316558208,-0.2360591125,0.1856140137,9.762099609
2.326551833,-0.2315684509,0.1866618347,9.757608948
2.336549833,-0.2293231201,0.1781295776,9.756860504
2.346547833,-0.2323168945,0.1922003174,9.751621399
2.356545833,-0.2266287231,0.1914518738,9.757159882
2.366543833,-0.2251318359,0.1974394226,9.762698364
2.376541833,-0.2380050659,0.1901046753,9.759554901
2.386540833,-0.2371069336,0.1742376709,9.750872955
2.396538833,-0.2381547546,0.1936972046,9.761351166
2.406536833,-0.2318678284,0.1938468933,9.752220154
2.416534833,-0.2230361938,0.1922003174,9.754615173
2.426532833,-0.2257305908,0.1853146362,9.754016418
2.436530833,-0.2347119141,0.1942959595,9.746382294
2.446528833,-0.2418969727,0.1850152588,9.751322021
2.456526833,-0.2360591125,0.1945953369,9.763297119
2.466524833,-0.2392025757,0.1901046753,9.746531982
2.476522833,-0.2300715637,0.1893562317,9.748178558
2.486520833,-0.2297721863,0.1880090332,9.756860504
2.496518833,-0.2296224976,0.1904040527,9.752818909
2.506516833,-0.2269281006,0.1971400452,9.752070465
2.516514833,-0.2426454163,0.1896556091,9.753118286
2.526513833,-0.2342628479,0.1936972046,9.752369843
2.536511833,-0.2347119141,0.1941462708,9.753717041
2.546509833,-0.2371069336,0.1922003174,9.755962372
2.556507833,-0.2338137817,0.1935475159,9.760303345
2.566505834,-0.219743042,0.2002835083,9.752070465
2.576503834,-0.2225871277,0.1974394226,9.752369843
2.586501834,-0.2231858826,0.1974394226,9.757608948
2.596499834,-0.240100708,0.1886077881,9.753567352
2.606497834,-0.2315684509,0.1883084106,9.754166107
2.616495833,-0.2284249878,0.1874102783,9.759405212
2.626493833,-0.2303709412,0.1938468933,9.759554901
2.636491833,-0.2293231201,0.1889071655,9.755513306
2.646490833,-0.2348616028,0.1916015625,9.764794006
2.656488833,-0.2245330811,0.189206543,9.755662994
2.666486833,-0.2248324585,0.1924996948,9.752220154
2.676484833,-0.228874054,0.196690979,9.760303345
2.686482833,-0.2305206299,0.1947450256,9.756860504
2.696480833,-0.2306703186,0.1874102783,9.756112061
2.706478833,-0.2348616028,0.1898052979,9.752968597
2.716476833,-0.2341131592,0.1886077881,9.748328247
2.726474833,-0.2348616028,0.1908531189,9.763297119
2.736472833,-0.229921875,0.1826202393,9.762848053
2.746470833,-0.2345622253,0.1883084106,9.751621399
2.756468833,-0.2362088013,0.1916015625,9.750723267
2.766466833,-0.242795105,0.1910028076,9.765692139
2.776464833,-0.2350112915,0.1862127686,9.752519531
2.786463833,-0.2435435486,0.1951940918,9.752968597
2.796461833,-0.2332150269,0.1913021851,9.75147171
2.806459833,-0.2303709412,0.1910028076,9.754914551
2.816457833,-0.2303709412,0.1938468933,9.759554901
2.826455833,-0.2409988403,0.2010319519,9.760602722
2.836453833,-0.2405497742,0.2034269714,9.751322021
2.846451833,-0.2359094238,0.199385376,9.748627625
2.856449833,-0.2380050659,0.1963916016,9.758806458
2.866447833,-0.2323168945,0.1983375549,9.762698364
2.876445833,-0.2341131592,0.1983375549,9.760303345
2.886443833,-0.2240840149,0.1951940918,9.754465485
2.896441833,-0.2273771667,0.1859133911,9.763746185
2.906439833,-0.220790863,0.1829196167,9.760453033
2.916438833,-0.2249821472,0.1863624573,9.747729492
2.926436833,-0.2318678284,0.1953437805,9.74802887
2.936434833,-0.2347119141,0.1974394226,9.760453033
2.946432833,-0.2399510193,0.195643158,9.756112061
2.956430833,-0.2290237427,0.1896556091,9.755213928
2.966428833,-0.2291734314,0.1869612122,9.761351166
2.976426833,-0.2333647156,0.1847158813,9.752369843
2.986424833,-0.2278262329,0.1678010559,9.758357391
2.996422834,-0.2281256104,0.1815724182,9.756411438
3.006420834,-0.2249821472,0.1984872437,9.750573578
3.016418834,-0.2377056885,0.1932481384,9.75850708
3.026416834,-0.2356100464,0.1980381775,9.758058014
3.036414834,-0.2293231201,0.2007325745,9.754315796
3.046412834,-0.2188449097,0.2001338196,9.752519531
3.056411834,-0.2260299683,0.1936972046,9.758207703
3.066409833,-0.2344125366,0.1881587219,9.762997742
3.076407833,-0.2345622253,0.1950444031,9.763895874
3.086405833,-0.2360591125,0.1869612122,9.769134979
3.096403833,-0.2329156494,0.1930984497,9.766889648
3.106401833,-0.2264790344,0.1944456482,9.752220154
3.116399833,-0.2215393066,0.1809736633,9.760003967
3.126397833,-0.230969696,0.1823208618,9.761051788
3.136395833,-0.2318678284,0.1769320679,9.750573578
3.146393833,-0.2332150269,0.1974394226,9.760303345
3.156391833,-0.2258802795,0.1917512512,9.756710815
3.166389833,-0.2311193848,0.1924996948,9.754465485
3.176387833,-0.2375559998,0.1910028076,9.761650543
3.186385833,-0.2330653381,0.1916015625,9.759105835
3.196383833,-0.2353106689,0.1938468933,9.745484161
3.206382833,-0.2264790344,0.1857637024,9.75970459
3.216380833,-0.2225871277,0.1844165039,9.765243073
3.226378833,-0.2258802795,0.1862127686,9.761051788
3.236376833,-0.2330653381,0.1863624573,9.749226379
3.246374833,-0.2311193848,0.1981878662,9.772727509
3.256372833,-0.2273771667,0.2020797729,9.750423889
3.266370833,-0.2215393066,0.196690979,9.757908325
3.276368833,-0.2293231201,0.2118095398,9.748477936
3.286366833,-0.2294728088,0.2113604736,9.747729492
3.296364833,-0.2311193848,0.2124082947,9.748627625
3.306362833,-0.2338137817,0.2089654541,9.756860504
3.316360833,-0.2266287231,0.2001338196,9.755962372
3.326358708,-0.2218386841,0.1989363098,9.75147171
3.336356708,-0.2177970886,0.2013313293,9.749076691
3.346354708,-0.2128573608,0.1930984497,9.745184784
3.356353708,-0.2158511353,0.1998344421,9.749525757
3.366351708,-0.2249821472,0.1922003174,9.754315796
3.376349709,-0.2279759216,0.1731898499,9.762548676
3.386347709,-0.2300715637,0.1685494995,9.75506424
3.396345709,-0.2260299683,0.1782792664,9.76554245
3.406343709,-0.2284249878,0.1745370483,9.761351166
3.416341709,-0.2338137817,0.1829196167,9.746981049
3.426339709,-0.2371069336,0.1910028076,9.747280426
3.436337708,-0.2339634705,0.1919009399,9.74563385
3.446335708,-0.2305206299,0.1933978271,9.74563385
3.456333708,-0.2368075562,0.1907034302,9.745933228
3.466331708,-0.239052887,0.1911524963,9.758357391
3.476329708,-0.2341131592,0.1899549866,9.754914551
3.486327708,-0.2248324585,0.1942959595,9.754016418
3.496325708,-0.226179657,0.1957928467,9.747280426
3.506324708,-0.2219883728,0.200433197,9.760303345
3.516322708,-0.2204914856,0.1963916016,9.762249298
3.526320708,-0.2258802795,0.1948947144,9.753567352
3.536318708,-0.220790863,0.1945953369,9.763446808
3.546316708,-0.2293231201,0.1880090332,9.748477936
3.556314708,-0.2321672058,0.1881587219,9.761949921
3.566312708,-0.2263293457,0.1851649475,9.764195251
3.576310708,-0.2248324585,0.1848655701,9.763446808
3.586308708,-0.2165995789,0.1844165039,9.757908325
3.596306708,-0.2293231201,0.1960922241,9.750573578
3.606304708,-0.2330653381,0.1996847534,9.759105835
3.616302708,-0.2329156494,0.2016307068,9.748777313
3.626300708,-0.2348616028,0.2032772827,9.745035095
3.636298708,-0.2215393066,0.1954934692,9.73859848
3.646296708,-0.2218386841,0.1963916016,9.754166107
3.656294708,-0.2239343262,0.1948947144,9.755962372
3.666293708,-0.2320175171,0.1868115234,9.759105835
3.676291708,-0.2312690735,0.1851649475,9.75850708
3.686289708,-0.2248324585,0.1890568542,9.752369843
3.696287708,-0.2263293457,0.195643158,9.752220154
3.706285708,-0.2335144043,0.1995350647,9.755213928
3.716283708,-0.2273771667,0.1869612122,9.75730957
3.726281708,-0.219743042,0.2029779053,9.761650543
3.736279708,-0.2252815247,0.1972897339,9.758058014
3.746277708,-0.2297721863,0.1842668152,9.753417664
3.756275708,-0.2282752991,0.1845661926,9.754465485
3.766273708,-0.2221380615,0.1922003174,9.755513306
3.776271708,-0.2194436646,0.1868115234,9.764644318
3.786269708,-0.2269281006,0.1887574768,9.749825134
3.796267709,-0.2246827698,0.1913021851,9.759405212
