Time (s),X (rad/s),Y (rad/s),Z (rad/s)
0.05091074994,-0.0006352344644,0.002665443812,0.000608010916
0.06090675015,-0.0004333668621,-0.0001718879212,-0.001224244013
0.07090175012,-0.000807541539,0.001546137035,0.002265451476
0.0808977501,-0.0009161985363,-0.0005356559996,-0.000523943454
0.09089375008,0.0002479659161,-0.0006694307085,-0.001212214353
0.1008887501,-0.001492942567,0.0008147490444,-0.0009882424492
0.11088475,0.0008886107244,-0.0004500739742,0.001236824784
0.12087975,0.0008065854199,-0.001598162809,0.001629641047
0.13087575,-0.0006020811852,-0.001228856854,-0.0008753160946
0.14087175,0.001615000423,-0.0003819714766,0.00002509867772
0.1508632083,0.0003982317867,0.001266676467,-0.0002043747809
0.1608592083,-0.002554415027,-0.0004161749966,-0.0002280769404
0.1708542083,-0.001077261521,-0.0009873355739,-0.0001457816688
0.1808502083,-0.0005446291761,0.000495778746,0.0009479786968
0.1908462085,-0.00018964638,0.0005779147614,0.001552308444
0.2008412085,0.0002620257437,-0.0006567267701,-0.0010274956
0.2108372084,0.001154860598,0.0004924660316,-0.0007547209971
0.2208332084,-0.003166917246,0.0007047200343,0.0008346535033
0.2308282084,0.0004427094245,0.00002135522664,0.0007957315538
0.2408242084,0.0003881145967,0.0007358813891,-0.0004050878342
0.2508192083,0.0006240535295,-0.0009876140393,-0.0002620790619
0.2608152083,0.0007470914861,-0.002350087278,0.001423435519
0.2708112083,0.0003661154769,0.001446296345,-0.00009079289157
0.2808062085,-0.002572416328,-0.0008072706405,-0.0002681594342
0.2908022085,-0.0005889361491,0.002584842267,-0.0008503198624
0.3007972084,0.0006465042243,0.0006082440959,0.000642648316
0.3107932084,-0.002095534001,0.0001269013155,-0.0009686635458
0.3207892084,-0.001710707205,-0.0003985404037,-0.0001313657267
0.3307842084,-0.002799230395,0.001424507471,0.003284468548
0.3407802084,0.0008937750245,0.0002117039403,0.002063142834
0.3507752083,-0.001193159376,-0.001291143941,0.0007427342935
0.3607712083,0.0001908853883,-0.003091706894,-0.00144824828
0.3707672083,-0.0001630547922,-0.00005967682227,-0.0005221709143
0.3807622085,0.0009679896757,-0.0004426392261,-0.002587452298
0.3907582085,0.00004249112681,0.0007569593145,-0.0001936241752
0.4007532084,0.004647895694,-0.0003304092679,-0.001061282004
0.4107492084,-0.000990324188,-0.0005394637119,-0.0006877057604
0.4207452084,0.003085111268,0.001414763741,0.0003695691703
0.4307402084,-0.0006396023091,0.001497757738,-0.00008555362001
0.4407362083,0.001012622844,0.0003315595677,0.0004454808077
0.4507312083,-0.001466320711,-0.001133080106,0.002051891759
0.4607272083,0.0002916319063,0.000762824202,-0.0005537451361
0.4707232083,0.00005041935947,0.001465252251,0.00164252182
0.4807182085,0.0004349799128,-0.001386194257,-0.0006728305016
0.4907142085,-0.001526964712,0.001917209942,-0.002572393976
0.5007102084,0.0003926417558,-0.002138784155,0.0006630804855
0.5107052084,-0.004243581556,0.001467344817,-0.0009348883759
0.5207012084,-0.00007919641212,-0.00078169466,0.002159172203
0.5306962084,0.003494020551,-0.001661540708,-0.0006372299977
0.5406922083,-0.0001672932412,-0.0009534060955,0.0004959449871
0.5506882083,-0.0008638261352,0.001214504708,0.0002212452237
0.5606832083,-0.001138664316,-0.0008289387915,0.0007568069268
0.5706792085,0.0002867797157,-0.0001660231501,0.0006900907028
0.5806742085,-0.0009979291353,0.00008804257959,0.001055742614
0.5906702084,0.00005074497312,0.00004965555854,-0.0007607875741
0.6006662084,-0.001051803818,-0.0004366377834,-0.001679844456
0.6106612084,0.001000638586,-0.0002051689662,-0.0006136289448
0.6206572084,0.001772688935,-0.002186028287,0.0002716057934
0.6306522083,0.004002633039,0.0007495329482,-0.00008712301496
0.6406482083,0.0006869976642,0.001222510356,-0.0006032436504
0.6506442083,-0.0008772857836,-0.00125304563,-0.0005200794549
0.6606392083,-0.0006455907715,0.0005286091473,0.001738547347
0.6706352085,-0.0008545998135,-0.001134076621,-0.0008617105195
0.6806302085,-0.000365377171,0.0006044349866,0.0001609433675
0.6906262084,0.0003701039823,-0.001452572644,-0.0004930826835
0.7006222084,-0.00179744279,0.0009935407434,0.002139185788
0.7106172084,0.001494025113,-0.001448232913,-0.0005343322991
0.7206132084,0.00006923393812,-0.000455939211,-0.001592139946
0.7306082083,-0.0009830078343,-0.0009718651418,0.0004587515723
0.7406042083,0.001360573922,-0.001196103403,-0.002585241571
0.7506002083,0.0003830814967,-0.0015526067,0.001982448855
0.7605952085,0.0005167721538,-0.001108391443,0.002115873154
0.7705912085,0.0006166973617,0.000322064152,-0.001318365219
0.7805872085,-0.0007833263371,-0.0004321432207,-0.00178867951
0.7905822084,-0.002186156111,-0.001538906246,0.001395653817
0.8005782084,-0.0009397967369,0.001259809593,0.0007719415007
0.8105732084,-0.0009751727921,-0.001205253415,0.0003445396433
0.8205692084,0.001737256884,-0.0004214851651,0.0002529268386
0.8305652083,0.0004213440698,0.0008436572971,-0.0008368781419
0.8405602083,0.002188085113,-0.001278349431,0.0001452956349
0.8505562083,-0.001508145942,-0.001655852189,-0.001406000461
0.8605512085,0.001033841167,-0.001611910062,-0.001053930493
0.8705472085,-0.002191794105,0.000002820044756,0.001784424647
0.8805432084,0.0002010562457,-0.0009428684134,0.000776950852
